### Footprint positions - created on 2026-02-28T21:35:28+0700 ###
### Printed by KiCad version 9.0.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                       Package                                                         PosX       PosY       Rot  Side
R1        120K                      R_0603_1608Metric                                           324.4300   -88.0800    0.0000  top
R2        13.7K                     R_0603_1608Metric                                           322.0350   -98.7600    0.0000  top
R3        22K                       R_0603_1608Metric                                           327.4600   -88.1000    0.0000  top
R4        2.2K                      R_0603_1608Metric                                           322.0350  -100.2700  180.0000  top
R5        8K2                       R_0603_1608Metric                                           325.8850   -99.5400  -90.0000  top
R6        22K                       R_0603_1608Metric                                           272.6750   -92.6950  -90.0000  top
R7        10K                       R_0603_1608Metric                                           276.6050   -91.9500    0.0000  top
R8        56K                       R_0603_1608Metric                                           271.0750   -92.6850  -90.0000  top
R9        18K                       R_0603_1608Metric                                           276.6050   -93.4600  180.0000  top
R10       68K                       R_0603_1608Metric                                           274.2650   -92.7050  -90.0000  top
R11       56K                       R_0603_1608Metric                                           284.0625   -92.6450   90.0000  top
R12       10K                       R_0603_1608Metric                                           282.4500   -92.6550   90.0000  top
R13       18K                       R_0603_1608Metric                                           280.8300   -92.6650  -90.0000  top
R14       0R                        R_0603_1608Metric                                           229.3600   -91.5300  180.0000  top
R15       390R                      R_0603_1608Metric                                           238.8200   -92.3100   90.0000  top
R16       4.7K                      R_0603_1608Metric                                           264.3850  -113.9150    0.0000  top
R17       4.7K                      R_0603_1608Metric                                           261.3600  -113.9150  180.0000  top
R18       10K                       R_0603_1608Metric                                           240.2900  -103.4300  180.0000  top
R19       200R                      R_0603_1608Metric                                            83.0100   -74.9100   90.0000  top
R20       200R                      R_0603_1608Metric                                           115.8100   -74.8600   90.0000  top
R21       1K                        R_0603_1608Metric                                            81.5500   -69.0600   90.0000  top
R22       1K                        R_0603_1608Metric                                           114.2443   -68.6400   90.0000  top
R23       10K                       R_0603_1608Metric                                            67.8004   -73.4600  -90.0000  top
R24       10K                       R_0603_1608Metric                                           100.7468   -73.5250  -90.0000  top
R25       200R                      R_0603_1608Metric                                           148.4600   -74.9400   90.0000  top
R26       10K                       R_0603_1608Metric                                           133.3732   -73.5800  -90.0000  top
R27       1K                        R_0603_1608Metric                                           146.6832   -68.6300   90.0000  top
R28       200R                      R_0603_1608Metric                                           181.1500   -74.6400   90.0000  top
R29       10K                       R_0603_1608Metric                                           166.0996   -73.2550  -90.0000  top
R30       1K                        R_0603_1608Metric                                           179.4396   -68.6300   90.0000  top
R31       560R                      R_0603_1608Metric                                           287.2750  -108.5500    0.0000  top
R32       10R                       R_1210_3225Metric                                           291.0675  -115.4175   90.0000  top
R33       120R                      R_0603_1608Metric                                           290.3200  -108.5500  180.0000  top
R34       10R                       R_1210_3225Metric                                           284.3375  -115.4175   90.0000  top
R35       560R                      R_0603_1608Metric                                           284.2000  -108.5700  180.0000  top
R36       10K                       R_0603_1608Metric                                           329.0800   -74.0450   90.0000  top
R37       10K                       R_0603_1608Metric                                           256.5400  -117.9825   90.0000  top
R38       10K                       R_0603_1608Metric                                           329.2100   -54.3258   90.0000  top
R39       10K                       R_0603_1608Metric                                           329.2900   -64.2500   90.0000  top
R40       10K                       R_0603_1608Metric                                           249.3600  -113.8500  180.0000  top
R41       10K                       R_0603_1608Metric                                            76.7125  -110.1425  -90.0000  top
R42       10K                       R_0603_1608Metric                                            93.6482  -109.8325  -90.0000  top
R43       10K                       R_0603_1608Metric                                           110.8139  -109.7925  -90.0000  top
R44       1K                        R_0603_1608Metric                                            86.6550  -113.7925  180.0000  top
R45       1K                        R_0603_1608Metric                                           103.8682  -113.6075  180.0000  top
R46       1K                        R_0603_1608Metric                                           120.8339  -113.5575  180.0000  top
R47       10K                       R_0603_1608Metric                                            83.4950  -113.8125    0.0000  top
R48       10K                       R_0603_1608Metric                                           100.6270  -113.6075    0.0000  top
R49       10K                       R_0603_1608Metric                                           117.6902  -113.5575    0.0000  top
R50       10K                       R_0603_1608Metric                                           127.7896  -110.1875  -90.0000  top
R51       10K                       R_0603_1608Metric                                           144.4804  -110.1625  -90.0000  top
R52       10K                       R_0603_1608Metric                                           161.0861  -110.2225  -90.0000  top
R53       1K                        R_0603_1608Metric                                           137.7546  -113.8575  180.0000  top
R54       1K                        R_0603_1608Metric                                           154.2950  -113.8100  180.0000  top
R55       1K                        R_0603_1608Metric                                           171.1161  -113.7925  180.0000  top
R56       10K                       R_0603_1608Metric                                           134.6146  -113.8575    0.0000  top
R57       10K                       R_0603_1608Metric                                           151.2200  -113.8100    0.0000  top
R58       10K                       R_0603_1608Metric                                           168.0261  -113.8025    0.0000  top
R59       10K                       R_0603_1608Metric                                           177.7018  -110.2125  -90.0000  top
R60       10K                       R_0603_1608Metric                                           194.3775  -110.2475  -90.0000  top
R61       1K                        R_0603_1608Metric                                           187.7350  -113.7900  180.0000  top
R62       1K                        R_0603_1608Metric                                           204.3775  -113.8025  180.0000  top
R63       10K                       R_0603_1608Metric                                           184.5350  -113.8000    0.0000  top
R64       10K                       R_0603_1608Metric                                           201.2075  -113.8125    0.0000  top
R65       200R                      R_0603_1608Metric                                           213.9911   -74.0000   90.0000  top
R66       10K                       R_0603_1608Metric                                           198.7611   -73.4200  -90.0000  top
R67       1K                        R_0603_1608Metric                                           212.2611   -68.6300   90.0000  top
R68       200R                      R_0603_1608Metric                                           246.6675   -73.9975   90.0000  top
R69       10K                       R_0603_1608Metric                                           231.5375   -73.4275  -90.0000  top
R70       1K                        R_0603_1608Metric                                           245.0475   -68.6300   90.0000  top
R71       200R                      R_0603_1608Metric                                           279.3139   -74.0400   90.0000  top
R72       10K                       R_0603_1608Metric                                           264.2139   -73.4600  -90.0000  top
R73       1K                        R_0603_1608Metric                                           277.7239   -68.6300   90.0000  top
R74       200R                      R_0603_1608Metric                                           312.2004   -74.2550   90.0000  top
R75       10K                       R_0603_1608Metric                                           297.1104   -73.6750  -90.0000  top
R76       1K                        R_0603_1608Metric                                           310.6504   -68.8800   90.0000  top
RV1       V33ZA1                    RV_Disc_D7mm_W3.6mm_P5mm                                    322.4100  -102.9900    0.0000  top
SW1       BTN                       SW_SPST_PTS645                                              246.2100  -118.1400  180.0000  top
SW2       BTN                       SW_SPST_PTS645                                               84.2100   -27.1900    0.0000  top
SW3       BTN                       SW_SPST_PTS645                                              117.0300   -27.2000    0.0000  top
SW4       BTN                       SW_SPST_PTS645                                              149.8600   -27.1900    0.0000  top
SW5       BTN                       SW_SPST_PTS645                                              183.2700   -27.2600    0.0000  top
SW6       BTN                       SW_SPST_PTS645                                              215.6700   -27.1900    0.0000  top
SW7       BTN                       SW_SPST_PTS645                                              248.8000   -27.1700    0.0000  top
SW8       BTN                       SW_SPST_PTS645                                              281.6000   -27.2000    0.0000  top
SW9       BTN                       SW_SPST_PTS645                                              314.6700   -27.2000    0.0000  top
TP1       TestPoint                 Pin_D1.3mm_L11.0mm                                          327.3400   -70.1233   90.0000  top
TP2       TestPoint                 Pin_D1.3mm_L11.0mm                                          327.3400   -78.4900   90.0000  top
TP3       TestPoint                 Pin_D1.3mm_L11.0mm                                          327.4200   -50.3700  180.0000  top
TP4       TestPoint                 Pin_D1.3mm_L11.0mm                                          327.3700   -60.3100  180.0000  top
TP5       TestPoint                 Pin_D1.3mm_L11.0mm                                          246.8350   -87.6600   90.0000  top
